Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments,,,,
,,,,testNullFactory,yes,yes,yes,yes,,,,,,
,,,,testConstantFactoryNull,yes,yes,yes,yes,,,,,,
,,,,testConstantFactoryConstant,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryNull,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryPublicCloneMethod,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryPublicCopyConstructor,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryPublicSerialization,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryPublicSerializationError,yes,yes,yes,yes,,,,,,
,,,,testPrototypeFactoryPublicBad,yes,yes,yes,yes,,,,,,
,,,,testReflectionFactoryNull,yes,yes,yes,yes,,,,,,
,,,,testReflectionFactorySimple,yes,yes,yes,yes,,,,,,
,,,,testReflectionFactoryMismatch,yes,yes,yes,yes,,,,,,
,,,,testReflectionFactoryNoConstructor,yes,yes,yes,yes,,,,,,
,,,,testReflectionFactoryComplex,yes,yes,yes,yes,,,,,,
,,,TestPredicateUtils.java,testExceptionPredicate,yes,yes,yes,yes,,,,,,
,,,,testNullPredicate,yes,yes,yes,yes,,,,,,
,,,,testIsNotNullPredicate,yes,yes,yes,yes,,,,,,
,,,,testEqualPredicate,yes,yes,yes,yes,,,,,,
,,,,testIdentityPredicate,yes,yes,yes,yes,,,,,,
,,,,testTruePredicate,yes,yes,yes,yes,,,,,,
,,,,testFalsePredicate,yes,yes,yes,yes,,,,,,
,,,,testNotPredicate,yes,yes,yes,yes,,,,,,
,,,,testNotPredicateEx,yes,yes,yes,yes,,,,,,
,,,,testAndPredicate,yes,yes,yes,yes,,,,,,
,,,,testAndPredicateEx,yes,yes,yes,yes,,,,,,
,,,,testAllPredicate,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx2,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx3,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx4,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx5,yes,yes,yes,yes,,,,,,
,,,,testAllPredicateEx6,yes,yes,yes,yes,,,,,,
,,,,testOrPredicate,yes,yes,yes,yes,,,,,,
,,,,testOrPredicateEx,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicate,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx2,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx3,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx4,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx5,yes,yes,yes,yes,,,,,,
,,,,testAnyPredicateEx6,yes,yes,yes,yes,,,,,,
,,,,testEitherPredicate,yes,yes,yes,yes,,,,,,
,,,,testEitherPredicateEx,yes,yes,yes,yes,,,,,,
,,,,testOnePredicate,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx2,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx3,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx4,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx5,yes,yes,yes,yes,,,,,,
,,,,testOnePredicateEx6,yes,yes,yes,yes,,,,,,
,,,,testNeitherPredicate,yes,yes,yes,yes,,,,,,
,,,,testNeitherPredicateEx,yes,yes,yes,yes,,,,,,
,,,,testNonePredicate,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx2,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx3,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx4,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx5,yes,yes,yes,yes,,,,,,
,,,,testNonePredicateEx6,yes,yes,yes,yes,,,,,,
,,,,testInstanceOfPredicate,yes,yes,yes,yes,,,,,,
,,,,testUniquePredicate,yes,yes,yes,yes,,,,,,
,,,,testAsPredicateTransformer,yes,yes,yes,yes,,,,,,
,,,,testAsPredicateTransformerEx1,yes,yes,yes,yes,,,,,,
,,,,testAsPredicateTransformerEx2,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicate,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicateEx2,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicateEx3,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicate2,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicate2Ex1,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicate2Ex2,yes,yes,yes,yes,,,,,,
,,,,testInvokerPredicate2Ex3,yes,yes,yes,yes,,,,,,
,,,,testNullIsExceptionPredicate,yes,yes,yes,yes,,,,,,
,,,,testNullIsExceptionPredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testNullIsTruePredicate,yes,yes,yes,yes,,,,,,
,,,,testNullIsTruePredicateEx1,yes,yes,yes,yes,,,,,,
,,,,testNullIsFalsePredicate,yes,yes,yes,yes,,,,,,
,,,,testNullIsFalsePredicateEx1,yes,yes,yes,yes,,,,,,
,,,TestTransformerUtils.java,testExceptionTransformer,yes,yes,yes,yes,,,,,,
,,,,testNullTransformer,yes,yes,yes,yes,,,,,,
,,,,testNopTransformer,yes,yes,yes,yes,,,,,,
,,,,testConstantTransformer,yes,yes,yes,yes,,,,,,
,,,,testCloneTransformer,yes,yes,yes,yes,,,,,,
,,,,testMapTransformer,yes,yes,yes,yes,,,,,,
,,,,testExecutorTransformer,yes,yes,yes,yes,,,,,,
,,,,testPredicateTransformer,yes,yes,yes,yes,,,,,,
,,,,testFactoryTransformer,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformer,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx1a,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx1b,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx1c,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx2,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx3,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx4,yes,yes,yes,yes,,,,,,
,,,,testChainedTransformerEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformer,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx1a,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx1b,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx1c,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx2,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx3,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx4,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx5,yes,yes,yes,yes,,,,,,
,,,,testSwitchTransformerEx6,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapTransformer,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapTransformerEx1,yes,yes,yes,yes,,,,,,
,,,,testSwitchMapTransformerEx2,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformer,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformerEx1,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformerEx3,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformer2,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformer2Ex1,yes,yes,yes,yes,,,,,,
,,,,testInvokerTransformer2Ex3,yes,yes,yes,yes,,,,,,
06/08/2003 18:14:23,73ee6c3d270a91bd447f732b24c4d65169b0c8d6,"Rework time package in preparation for 2.0 release
DateUtils split to DateFormatUtils and DurationFormatUtils
CalendarUtils renamed to DateUtils
StopWatch time format method moved to DurationFormatUtils
Tests updated and pass


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137361 13f79535-47bb-0310-9956-ffa450edef68",DateUtilsTest.java,testElapsedTime,yes,yes,yes,yes,,,,,,
,,,,testTimeISODate,conflict,yes,no,yes,,,,,,
,,,,testPhaseOfMoon,yes,yes,yes,yes,,,,,,
07/19/2003 13:10:30,7e0990ccccee73e86c8aed976047e7fef65e27c0,"Additional testing, especially in the area of whitespace


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137453 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTrimEmptyTest.java,testStrip,no,no,no,no,,refactor; broken into multiple test,,,,
07/19/2003 16:55:05,895cedb4049f691516460a6f39eca37411fb5dcf,"Rework isEmpty and isNotEmpty following user feedback


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137459 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTrimEmptyTest.java,testIsNotEmptyOrNull,conflict,no,yes,no,,refactor,,,,
,,,,testIsNotEmptyTrimmed,conflict,no,yes,no,,refactor,,,,
,,,,testIsNotEmptyTrimmedOrNull,conflict,no,yes,no,,refactor,,,,
07/19/2003 18:28:23,9ea271c0c7027120638d59f0c022594dfe10c7cc,"Move IndexOf and Contains tests to StringUtilsEqualsIndexOfTest


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137460 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTest.java,testContainsOnlyString,yes,yes,yes,yes,,,,,,
,,,,testContainsOnlyCharArray,yes,yes,yes,yes,,,,,,
,,,,testContainsNoneString,yes,yes,yes,yes,,,,,,
,,,,testContainsNoneCharArray,yes,yes,yes,yes,,,,,,
,,,,testIndexOfAnyBut,yes,yes,yes,yes,,,,,,
07/20/2003 5:29:22,4c1e760dd8a93c118190c41bf911818ccf29ff27,"Add new method center(String, int, char) to complete API
Rework padding internals
Example javadoc difference()/differenceAt()
Remove dependency on NumberUtils


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137471 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTest.java,testPadFunctions,no,no,no,no,,refactor,,,,
07/20/2003 19:41:13,f434e7ba71f1f75cb0a31e78d9054196e1c5375b,"Update Javadoc examples
Change mid() to accept invalid startPos


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137480 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsSubstringTest.java,testLeftEx,no,no,no,no,,refactor,,,,
,,,,testRightEx,no,no,no,no,,refactor,,,,
,,,,testMidEx1,no,no,no,,,,,,,
,,,,testMidEx2,conflict,yes,yes,no,,refactor,,,,
,,,,testMidEx3,conflict,yes,yes,no,,refactor,,,,
07/25/2003 17:22:30,7ff6e3a30f0ef1589fe058fcc5a54b1a07fba3eb,"Rename slice functions to substringAfter/substringBefore


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137493 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTest.java,testSliceFunctions,conflict,no,yes,no,,refactor,,,,
,,,,testSliceRemainder_StringString,conflict,no,yes,no,,refactor,,,,
,,,,testSliceFirstRemainder_StringString,conflict,no,yes,no,missing tests,refactor,,,,
07/30/2003 17:21:39,c7767ea25b004d44916cbc3eedcdb4601222df7f,"Additional tests as suggested by Clover report


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137531 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsSubstringTest.java,testSubstring2,no,no,no,,refactor; extended,,,,,
08/15/2003 11:14:35,7c2ce42936602f10d2aabbfeb8b9789aeb7e97f3,"Commented out the parseCVS code for consideration/fixing for Lang 2.1


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137600 13f79535-47bb-0310-9956-ffa450edef68",DateUtilsTest.java,testParseCVS,yes,yes,yes,,,,,,,
08/17/2003 16:57:37,47367eb9ab75a06a1b2606790813ee6cb1ed6196,"Rename WordWrapUtils to WordUtils
Refactor wrapLine method, making it public and work properly
Remove wrapText method
Test


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137618 13f79535-47bb-0310-9956-ffa450edef68",WordWrapUtilsTest.java,testWrapText1,yes,yes,yes,yes,,,,,,
,,,,testWrapText2,yes,yes,yes,yes,,,,,,
,,,,testWrapText3,yes,yes,yes,yes,,,,,,
,,,,testWrapText4,yes,yes,yes,yes,,,,,,
08/18/2003 19:21:46,8d36a61bb5fc171f043d1cdcf8ab0b6c070ecb85,"Remove evaluateSet(String) which is deprecated, but wasn't in 1.0.1


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137631 13f79535-47bb-0310-9956-ffa450edef68",CharSetUtilsTest.java,testEvaluateSet_String,yes,yes,yes,yes,,,,,,
02/16/2004 18:55:57,ebebaf310ba43de76c9a1eab83c48cd75a2dd760,"PR: http://nagoya.apache.org/bugzilla/show_bug.cgi?id=26922
[lang] public static boolean DateUtils.equals(Date dt1, Date dt2) ?
Updated testDateEqualsJava(): The behavior is different b/w Sun Java 1.3.1_10 and 1.4.2_03.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137796 13f79535-47bb-0310-9956-ffa450edef68",ObjectUtilsTest.java,testDateEquals,no,no,no,,renamed and refactored,,,,,
03/03/2004 18:13:38,5e7cf0ed0e5a457e6e180e83ffbafa0b582e2759,"Make exception implement Nestable interface and use NestableDelegate
bug 26954 (alternate implementation)


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137821 13f79535-47bb-0310-9956-ffa450edef68",NotImplementedExceptionTest.java,testConstructor_classArg_nullInput,no,no,no,no,,refactor,,,,
,,,,testConstructor_stringArg_nullInput,no,no,no,no,,refactor,,,,
,,,,testGetMessage_stringArg_nullInput,no,no,no,no,,refactor,,,,
,,,,testGetMessage_stringArg_validInput,no,no,no,no,,refactor,,,,
03/04/2004 15:00:02,87f5f094fbe402f2a709c91307bad7210ef7abf2,"Remove util package - Identifier code now in sandbox [id] project


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137822 13f79535-47bb-0310-9956-ffa450edef68",IdentifierUtilsTest.java,testConstructor,yes,yes,yes,yes,,,,,,
,,,,testLongIncrementing,yes,yes,yes,yes,,,,,,
,,,,testLongIncrementingNoArgs,yes,yes,yes,yes,,,,,,
,,,,testLongIncrementingInit,yes,yes,yes,yes,,,,,,
,,,,testLongIncrementingWrap,yes,yes,yes,yes,,,,,,
,,,,testLongIncrementingNoWrap,yes,yes,yes,yes,,,,,,
,,,,testStringNumericLong,yes,yes,yes,yes,,,,,,
,,,,testStringNumericNoArgs,yes,yes,yes,yes,,,,,,
,,,,testStringNumericInit,yes,yes,yes,yes,,,,,,
,,,,testStringNumericWrap,yes,yes,yes,yes,,,,,,
,,,,testStringNumericNoWrap,yes,yes,yes,yes,,,,,,
,,,,testStringAlphanumeric,yes,yes,yes,yes,,,,,,
,,,,testLongAlphanumericNoArgs,yes,yes,yes,yes,,,,,,
,,,,testStringAlphanumericWrap,yes,yes,yes,yes,,,,,,
,,,,testStringAlphanumericNoWrap,yes,yes,yes,yes,,,,,,
,,,,testStringSession,yes,yes,yes,yes,,,,,,
06/01/2004 16:08:48,eaf7441da082e717f8c7bb69c14aaa1230de35bd,"Add ObjectUtils.hashCode() - a null safe hash code
bug 28554, from Mario Winterer


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137840 13f79535-47bb-0310-9956-ffa450edef68",ObjectUtilsTest.java,testDateEqualsJava,yes,yes,yes,yes,,commented out,,,,
07/07/2004 18:50:28,fbeb9d58da6d83b00dc0bb75244c5309b55caa9b,"Update mutable package for release 2.1


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137873 13f79535-47bb-0310-9956-ffa450edef68",MutableNumberTest.java,testSetValue,yes,yes,yes,yes,,,,,,
10/10/2004 13:56:16,097aa30a36a6ed2e53fc81b1fde53009f2f3e8ad,"Remove lastIndex(), which is better done as getLength() - 1


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@137971 13f79535-47bb-0310-9956-ffa450edef68",ArrayUtilsTest.java,testLastIndex,yes,yes,yes,yes,,,,,,
12/19/2004 16:35:38,d669920cb2752c24b3bfb1e6602e3227c15f211b,"Remove Class and Package comparators - too specific set of use cases


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@138001 13f79535-47bb-0310-9956-ffa450edef68",ClassUtilsTest.java,testClassComparator,yes,yes,yes,yes,,,,,,
,,,,testPackageComparator,yes,yes,yes,yes,,,,,,
,,,,testPackageNameComparatorWithDifferentClassLoaders,yes,yes,yes,yes,,,,,,
12/25/2004 11:52:19,bcd86e7fbef492ad4146e226a1f5f787cc7ee210,"more test coverage of obscure situations


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@138003 13f79535-47bb-0310-9956-ffa450edef68",RandomUtilsTest.java,testSetSeed,no,no,no,,,,,,,
02/03/2005 19:21:19,3378d09f1639c5a5545344a8347b775dacb3bb75,"rolling the forName method out for the 2.1 release

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@151282 13f79535-47bb-0310-9956-ffa450edef68",ClassUtilsTest.java,testForName,yes,yes,yes,yes,,,,,,
07/09/2005 8:41:02,32e80fc5e88029f212c0d6d3f179ab8e532c2bae,"New methods and testing of StrBuilder

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@209943 13f79535-47bb-0310-9956-ffa450edef68",StrBuilderTest.java,testAppendWithSeparators,no,no,no,,,,,,,
,,,,testConstructor,yes,yes,yes,,,,,,,
07/23/2005 16:56:59,cdb9168538e2f01e3737e118baab9450076ca360,"Removes Interpolation and MappedMessageFormat from the text package in favor of VariableFormatter. (See message below) No one has complained on commons-dev.

-----Original Message-----
From: Gary Gregory [mailto:ggregory@seagullsoftware.com] 
Sent: Thursday, July 21, 2005 9:34 AM
To: Jakarta Commons Developers List
Subject: [lang] text.VariableFormatter to replace Interpolation and MappedMessageFormat (WAS a [POLL])

Hello:

It's been two weeks since I posted the original message below and I've
not heard negative comments on removing Interpolation and
MappedMessageFormat from the text package in favor of VariableFormatter.
I will therefore do so real soon. 

Please raise your hand you disagree.

Thanks,
Gary


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@224558 13f79535-47bb-0310-9956-ffa450edef68",InterpolationTest.java,testSimpleVariableSubstitution,yes,yes,yes,yes,,,,,,
,,,,testNullMap,yes,yes,yes,yes,,,,,,
,,,,testEmptyMap,yes,yes,yes,yes,,,,,,
,,,,testNullTemplate,yes,yes,yes,yes,,,,,,
,,,,testRecursive,yes,yes,yes,yes,,,,,,
07/30/2005 20:17:01,3535bf265b3eb34df28ff2ee5c029065e569add8,"Better code coverage from Nathan Beyer [nbeyer@kc.rr.com].

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@226597 13f79535-47bb-0310-9956-ffa450edef68",StrBuilderTest.java,testCharArray,yes,yes,yes,yes,empty test,not significant,,,,
08/14/2005 16:45:47,810e69f7a470eb9dce71de314f0a98c0f7840a24,"Add StrMatcher and update StrBuilder and test cases to use it, plus fix other bugs

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@232652 13f79535-47bb-0310-9956-ffa450edef68",StrBuilderTest.java,testDeleteCharAtExceptions,conflict,no,no,yes,,,,,,
,,,,testContainsChar,conflict,no,no,yes,,,,,,
,,,,testContainsString,conflict,no,no,yes,,,,,,
08/15/2005 15:58:23,a5311d05afc8dfc2983c9c8e932216195f09de82,"Remove StrTokenizer.Matcher, replace with StrMatcher

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@232878 13f79535-47bb-0310-9956-ffa450edef68",StrTokenizerTest.java,testMatcher,yes,yes,yes,yes,,,,,,
,,,,testStringMatcher,yes,yes,yes,yes,,,,,,
